merged_data
Month,2023_temp,2022_temp,2021_temp,2020_temp,2023_humid,2022_humid,2021_humid,2020_humid,date,class,focuses,uf,2020_rain,2021_rain,2022_rain,2023_rain
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Desmatamento Recente,5.0,ACRE,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Desmatamento Recente,1.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Desmatamento Recente,130.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Desmatamento Recente,10.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Desmatamento Recente,5.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Desmatamento Recente,1.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Floresta,12.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Floresta,1.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Outros,2.0,AMAPÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Outros,2.0,MARANHÃO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Outros,21.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Outros,6.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Outros,1.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Outros,5.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Vegetacao Secundaria,1.0,ACRE,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Vegetacao Secundaria,3.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Vegetacao Secundaria,16.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Vegetacao Secundaria,3.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2022/04,Vegetacao Secundaria,5.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Consolidado,2.0,ACRE,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Consolidado,10.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Consolidado,4.0,MARANHÃO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Consolidado,291.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Consolidado,35.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Consolidado,13.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Consolidado,20.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Recente,4.0,ACRE,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Recente,4.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Recente,69.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Recente,5.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Recente,1.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Desmatamento Recente,25.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Floresta,1.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Floresta,1.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Floresta,3.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Floresta,1.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Floresta,17.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Outros,30.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Outros,2.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Outros,39.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Vegetacao Secundaria,1.0,ACRE,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Vegetacao Secundaria,3.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Vegetacao Secundaria,14.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Vegetacao Secundaria,10.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Vegetacao Secundaria,1.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2021/04,Vegetacao Secundaria,9.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Consolidado,4.0,ACRE,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Consolidado,9.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Consolidado,1.0,MARANHÃO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Consolidado,392.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
