month,AVERAGE of 2023,AVERAGE of 2022,AVERAGE of 2021,AVERAGE of 2020
Apr,87.6,90.3,89.1,88.2
Aug,74.8,77.2,81.0,74.9
Dec,89.3,81.8,90.7,86.3
Feb,90.5,90.2,87.5,82.8
Jan,89.5,86.4,88.5,84.5
Jul,77.2,80.1,83.8,79.4
Jun,83.8,86.0,86.1,85.3
Mar,88.3,90.7,89.6,83.7
May,87.4,86.5,88.5,88.9
Nov,78.6,77.2,87.9,85.2
Oct,72.8,79.6,81.8,84.6
Sep,72.9,77.5,84.0,78.2
Grand Total,82.6,83.6,86.5,83.5
